id,in_temp,out_temp,pub_time,pub_date
1,20,8,15,04/02/2020
2,20,8,15,04/02/2020
3,20,8,15,04/02/2020
4,20,8,15,04/02/2020
5,20,7,23,04/02/2020
6,19,7,23,04/02/2020
7,20,7,00,05/02/2020
8,20,7,00,05/02/2020
9,19,7,01,05/02/2020
10,18,2,19,05/02/2020
11,18,2,19,05/02/2020
12,18,2,20,05/02/2020
13,18,2,20,05/02/2020
14,18,2,21,05/02/2020
15,18,1,21,05/02/2020
16,18,1,22,05/02/2020
17,19,0,22,05/02/2020
18,19,0,23,05/02/2020
19,19,0,23,05/02/2020
20,21,-2,10,06/02/2020
21,20,-2,10,06/02/2020
22,19,-2,11,06/02/2020
23,18,-1,11,06/02/2020
24,18,-1,12,06/02/2020
25,18,-1,12,06/02/2020
26,18,0,13,06/02/2020
27,18,0,13,06/02/2020
28,19,-2,19,06/02/2020
29,20,-2,19,06/02/2020
30,20,-1,20,06/02/2020
31,20,-1,22,06/02/2020
32,19,-1,22,06/02/2020
33,19,-1,23,06/02/2020
34,19,0,23,06/02/2020
35,19,0,00,07/02/2020
36,19,0,00,07/02/2020
37,19,0,01,07/02/2020
38,19,0,01,07/02/2020
39,19,0,02,07/02/2020
40,19,0,02,07/02/2020
41,19,0,03,07/02/2020
42,19,0,03,07/02/2020
43,19,0,04,07/02/2020
44,19,0,04,07/02/2020
45,19,0,05,07/02/2020
46,19,0,05,07/02/2020
47,19,0,06,07/02/2020
48,19,0,06,07/02/2020
49,19,0,07,07/02/2020
50,19,0,07,07/02/2020
51,19,-1,08,07/02/2020
52,19,-3,08,07/02/2020
53,19,-3,09,07/02/2020
54,19,-3,09,07/02/2020
55,19,-3,10,07/02/2020
56,19,-3,10,07/02/2020
57,19,-2,11,07/02/2020
58,19,-2,11,07/02/2020
59,19,-2,12,07/02/2020
60,19,-2,12,07/02/2020
61,19,-1,13,07/02/2020
62,19,-1,13,07/02/2020
63,19,-1,14,07/02/2020
64,19,-1,14,07/02/2020
65,18,-1,15,07/02/2020
66,18,-1,15,07/02/2020
67,18,-1,16,07/02/2020
68,18,-2,16,07/02/2020
69,18,-2,17,07/02/2020
70,18,-3,17,07/02/2020
71,18,-3,18,07/02/2020
72,18,-3,18,07/02/2020
73,18,-4,19,07/02/2020
74,18,-4,19,07/02/2020
75,18,-4,20,07/02/2020
76,18,-5,20,07/02/2020
77,18,-4,21,07/02/2020
78,18,-5,21,07/02/2020
79,18,-5,22,07/02/2020
80,18,-5,22,07/02/2020
81,18,-5,23,07/02/2020
82,18,-5,23,07/02/2020
83,18,-5,00,08/02/2020
84,18,-5,00,08/02/2020
85,19,-5,01,08/02/2020
86,19,-5,01,08/02/2020
87,19,-5,02,08/02/2020
88,19,-5,02,08/02/2020
89,19,-5,03,08/02/2020
90,19,-5,03,08/02/2020
91,18,-6,04,08/02/2020
92,18,-6,04,08/02/2020
93,18,-6,05,08/02/2020
94,18,-6,05,08/02/2020
95,18,-6,06,08/02/2020
96,18,-6,06,08/02/2020
97,18,-6,07,08/02/2020
98,18,-6,07,08/02/2020
99,19,-6,08,08/02/2020
100,19,-5,08,08/02/2020
101,18,-5,09,08/02/2020
102,18,-4,09,08/02/2020
103,18,-4,10,08/02/2020
104,18,-3,10,08/02/2020
105,18,-3,11,08/02/2020
106,18,-3,11,08/02/2020
107,18,-3,12,08/02/2020
108,18,-2,12,08/02/2020
109,18,-2,13,08/02/2020
110,17,-2,13,08/02/2020
111,17,-2,14,08/02/2020
112,18,-1,14,08/02/2020
113,17,-1,15,08/02/2020
114,17,-1,15,08/02/2020
115,18,-1,16,08/02/2020
116,17,-2,16,08/02/2020
117,17,-2,17,08/02/2020
118,17,-3,17,08/02/2020
119,17,-3,18,08/02/2020
